species	chrom	avg_slope_loglog
Eepiphron	scaffold_14	-0.9227192123579409
Eepiphron	scaffold_15	-0.8120587699227737
Eepiphron	scaffold_16	-1.0939026506055562
Eepiphron	scaffold_2	-1.030465988000049
Eepiphron	scaffold_3	-1.1245501773294326
Eepiphron	scaffold_4	-1.0262258859525195
Eepiphron	scaffold_5	-0.9993739917655997
Eepiphron	scaffold_6	-1.0057506041847604
Eepiphron	scaffold_7	-0.9404378268963891
Eepiphron	scaffold_8	-1.0470018831501458
Eepiphron	scaffold_9	-0.9028983822848978
Eeriphyle	scaffold_1	-0.6253062500005254
Eeriphyle	scaffold_10	-0.4644309057976294
Eeriphyle	scaffold_11	-0.4589557103530246
Eeriphyle	scaffold_12	-0.40951513204141926
Eeriphyle	scaffold_13	-0.4568944188244053
Eeriphyle	scaffold_14	-0.5390864687530288
Eeriphyle	scaffold_15	-0.4386427499168174
Eeriphyle	scaffold_16	-0.3835741578481131
Eeriphyle	scaffold_17	-0.33082773067700144
Eeriphyle	scaffold_18	-0.36587719755175024
Eeriphyle	scaffold_19	-0.4233001431249281
Eeriphyle	scaffold_2	-0.5214622396973905
Eeriphyle	scaffold_20	-0.4359614827523052
Eeriphyle	scaffold_21	-0.37384776203588616
Eeriphyle	scaffold_22	-0.2869999503891878
Eeriphyle	scaffold_23	-0.39780017096071074
Eeriphyle	scaffold_24	-0.19651075859645792
Eeriphyle	scaffold_25	-0.21385956549832152
Eeriphyle	scaffold_26	-0.32452011391200664
Eeriphyle	scaffold_27	-0.18304138917022073
Eeriphyle	scaffold_28	-0.08220933294930366
Eeriphyle	scaffold_3	-0.612514728828477
Eeriphyle	scaffold_30	-0.6075593183333344
Eeriphyle	scaffold_4	-0.5859690314578392
Eeriphyle	scaffold_5	-0.5744713651372215
Eeriphyle	scaffold_6	-0.5221146023657846
Eeriphyle	scaffold_7	-0.574683458804804
Eeriphyle	scaffold_8	-0.5646827016213382
Eeriphyle	scaffold_9	-0.4861658098513767
Eflavofasciata	scaffold_1	-0.7741246324032457
Eflavofasciata	scaffold_10	-0.7157763435396068
Eflavofasciata	scaffold_11	-0.6338179531323146
Eflavofasciata	scaffold_12	-0.6946338338346999
Eflavofasciata	scaffold_13	-0.6485486363737596
Eflavofasciata	scaffold_14	-0.6070935187070883
Eflavofasciata	scaffold_15	-0.6109863030308805
